area,bedrooms,bathrooms,location,year_built,price
992,4.0,3.0,,1958,447278.81719748344
4005,4.0,2.0,Greenville,1987,989461.6684544683
3480,4.0,3.0,Hill Valley,1986,858337.2233223777
2531,1.0,3.0,Greenville,1972,740401.1786504496
2505,5.0,2.0,Riverside,1963,717956.5972739594
4377,3.0,3.0,Shelbyville,1958,744027.6950600139
978,2.0,2.0,Riverside,1955,378328.1999474891
3668,3.0,,Hill Valley,1988,854242.2490113202
1486,5.0,1.0,Greenville,1961,559645.9079344128
1014,5.0,3.0,Springfield,2021,414351.3366118186
2916,5.0,,Greenville,1971,851044.5607834127
4892,,3.0,Springfield,2000,921041.3176512407
3837,4.0,2.0,Shelbyville,2001,708367.5263922558
3949,2.0,3.0,,1989,851837.5572798644
3756,4.0,,Riverside,2015,851117.1861899635
4058,4.0,1.0,Greenville,1962,991546.0301010218
2858,2.0,2.0,Hill Valley,1971,798779.9625067632
1163,2.0,3.0,Riverside,1972,418755.8626124133
4294,1.0,3.0,Riverside,1964,867489.6719220241
2581,1.0,2.0,Greenville,1975,775135.5804163369
2801,3.0,2.0,Riverside,1976,713089.3502403965
2231,3.0,2.0,Hill Valley,2007,692949.3922054927
1403,1.0,,Springfield,1975,424797.5331107163
4677,,2.0,Shelbyville,2015,799368.306159718
4038,4.0,2.0,Riverside,2008,928498.2859083561
3433,2.0,3.0,,2017,884895.410433217
2370,2.0,1.0,Springfield,1962,551891.757367246
4220,2.0,3.0,Riverside,2022,871759.9094934338
2999,3.0,1.0,Hill Valley,1997,784601.0391849461
2551,2.0,1.0,Riverside,2022,660652.2288985898
2582,4.0,3.0,Springfield,1979,600151.2073542367
1599,2.0,3.0,Greenville,2020,616409.4417402305
1005,3.0,3.0,Springfield,1995,399923.7954200334
3040,2.0,3.0,Riverside,1959,687248.9601941477
4506,1.0,2.0,Greenville,1983,1024951.5577515906
880,4.0,2.0,Greenville,1964,467730.34093885013
4376,2.0,1.0,Hill Valley,2019,982883.9239227974
4241,2.0,1.0,Hill Valley,1976,899097.4351754291
1817,4.0,1.0,Shelbyville,1970,481979.31068973156
3379,5.0,1.0,Springfield,1993,679135.6279621354
1327,4.0,2.0,Riverside,1984,497841.15253256983
3935,5.0,3.0,Springfield,1961,772161.8977535446
3682,,3.0,Springfield,2011,822794.4018662452
2159,3.0,2.0,Riverside,2013,636268.6983684978
898,4.0,,Greenville,2006,528277.9859236681
4871,2.0,3.0,Shelbyville,1997,811671.5832320917
2561,3.0,3.0,Hill Valley,1982,663084.2295801094
4529,3.0,2.0,Hill Valley,1992,1012705.9923107728
3582,5.0,1.0,Hill Valley,1990,954975.4253341429
4024,5.0,3.0,Springfield,1966,807800.3951920802
3943,3.0,1.0,Shelbyville,1960,674017.3950750801
1456,4.0,2.0,Shelbyville,1972,450253.85138926585
